0,17,11,17,3,3,0
2,17,10,17,13,3,20
4,17,11,10,20,3,0
6,10,13,14,16,20,17
8,10,13,14,16,20,4
10,17,10,10,3,3,20
12,10,13,13,3,20,17
14,10,13,13,3,20,4
16,17,5,17,3,3,11
18,3,19,17,3,0,11
20,17,4,14,16,3,16
22,17,4,13,3,3,16
24,17,5,10,20,3,11
26,10,4,19,11,20,0
28,15,16,3,0,10,4
30,10,15,3,0,0,4
32,15,10,3,0,10,20
34,3,11,10,20,0,9
36,10,11,3,0,0,19
38,10,4,8,3,20,0
40,3,10,10,20,0,20
42,3,5,17,13,0,0
44,5,16,3,0,25,4
46,3,4,14,16,0,5
48,3,4,13,3,0,5
50,3,5,10,3,0,0
52,5,10,3,0,25,20
54,10,4,3,0,0,0
56,10,4,3,0,20,0
58,10,4,3,0,10,0
60,3,2,17,3,0,9
