box_id,width,height,depth,x,y,z
0,11,17,17,3,5,13
1,10,17,17,3,16,13
2,11,10,17,3,15,3
3,13,14,10,20,17,3
4,13,14,10,20,0,16
5,10,10,17,3,5,3
6,13,13,10,20,17,17
7,13,13,10,20,0,3
8,5,17,17,3,0,3
9,19,17,3,0,2,3
10,4,14,17,0,26,13
11,4,13,17,0,26,0
12,5,10,17,3,0,20
13,4,19,10,20,13,11
14,16,3,15,15,10,0
15,15,3,10,5,11,0
16,10,3,15,15,0,0
17,11,10,3,0,0,20
18,11,3,10,5,0,0
19,4,8,10,20,13,3
20,10,10,3,0,11,20
21,5,17,3,0,21,13
22,16,3,5,0,0,0
23,4,14,3,17,26,0
24,4,13,3,17,26,14
25,5,10,3,0,21,3
26,10,3,5,0,16,0
27,4,3,10,0,26,27
28,4,3,10,10,26,27
29,4,3,10,20,26,0
30,2,17,3,0,0,3
31,0,17,3,5,0,0
box_a,box_b,satisfied_constraint
0,1,2
0,2,5
0,3,2
0,4,0
0,5,5
0,6,2
0,7,0
0,8,3
0,9,1
0,10,2
0,11,5
0,12,3
0,13,0
0,14,5
0,15,5
0,16,5
0,17,1
0,18,5
0,19,5
0,20,1
0,21,1
0,22,5
0,23,2
0,24,2
0,25,1
0,26,2
0,27,2
0,28,2
0,29,0
0,30,1
0,31,3
1,2,5
1,3,0
1,4,3
1,5,5
1,6,0
1,7,3
1,8,3
1,9,1
1,10,2
1,11,2
1,12,3
1,13,0
1,14,5
1,15,5
1,16,5
1,17,1
1,18,3
1,19,5
1,20,1
1,21,1
1,22,3
1,23,2
1,24,2
1,25,5
1,26,5
1,27,2
1,28,2
1,29,2
1,30,1
1,31,3
2,3,0
2,4,3
2,5,3
2,6,4
2,7,3
2,8,3
2,9,1
2,10,2
2,11,2
2,12,3
2,13,0
2,14,5
2,15,5
2,16,5
2,17,4
2,18,3
2,19,0
2,20,4
2,21,1
2,22,5
2,23,2
2,24,4
2,25,1
2,26,5
2,27,2
2,28,4
2,29,0
2,30,3
2,31,3
3,4,3
3,5,3
3,6,4
3,7,3
3,8,3
3,9,1
3,10,1
3,11,1
3,12,3
3,13,3
3,14,5
3,15,5
3,16,3
3,17,1
3,18,3
3,19,3
3,20,1
3,21,1
3,22,3
3,23,1
3,24,1
3,25,1
3,26,5
3,27,4
3,28,4
3,29,5
3,30,1
3,31,3
4,5,1
4,6,2
4,7,5
4,8,1
4,9,1
4,10,2
4,11,2
4,12,1
4,13,2
4,14,5
4,15,5
4,16,5
4,17,1
4,18,5
4,19,5
4,20,1
4,21,1
4,22,5
4,23,5
4,24,1
4,25,1
4,26,2
4,27,2
4,28,2
4,29,5
4,30,1
4,31,3
5,6,2
5,7,0
5,8,3
5,9,1
5,10,2
5,11,2
5,12,3
5,13,0
5,14,5
5,15,5
5,16,5
5,17,1
5,18,5
5,19,0
5,20,1
5,21,1
5,22,5
5,23,2
5,24,2
5,25,1
5,26,5
5,27,2
5,28,2
5,29,0
5,30,1
5,31,3
6,7,3
6,8,3
